,Tree node ID,Tree node label,palmdb_sp_count,ncbi_sp_count,palmdb_sp_count_log,ncbi_sp_count_log,palmdb_sp_count_log-ncbi_sp_count_log
148,Alphavirus,Alphavirus,210,39,5.3471075307174685,3.6635616461296463,1.6835458845878222
149,Unclass. Kitaviridae,Unclass. Kitaviridae,34,NA,3.5263605246161616,0.0,3.5263605246161616
150,Cilevirus,Cilevirus,10,4,2.302585092994046,1.3862943611198906,0.9162907318741553
151,Unclass. Mayoviridae,Unclass. Mayoviridae,4,NA,1.3862943611198906,0.0,1.3862943611198906
152,Idaeovirus,Idaeovirus,29,3,3.367295829986474,1.0986122886681098,2.2686835413183646
153,Alphaendornavirus,Alphaendornavirus,92,23,4.5217885770490405,3.1354942159291497,1.3862943611198908
154,Unclass. Endornaviridae,Unclass. Endornaviridae,327,NA,5.7899601708972535,0.0,5.7899601708972535
155,Betaendornavirus,Betaendornavirus,7,8,1.9459101490553132,2.0794415416798357,0.0
156,Crinivirus,Crinivirus,71,15,4.2626798770413155,2.70805020110221,1.5546296759391054
157,Closterovirus,Closterovirus,122,16,4.804021044733257,2.772588722239781,2.0314323224934756
158,Ampelovirus,Ampelovirus,112,16,4.718498871295094,2.772588722239781,1.945910149055313
159,Unclass. Closteroviridae,Unclass. Closteroviridae,90,NA,4.499809670330265,0.0,4.499809670330265
160,Velarivirus,Velarivirus,29,8,3.367295829986474,2.0794415416798357,1.2878542883066384
161,Bromovirus,Bromovirus,28,7,3.332204510175204,1.9459101490553132,1.3862943611198906
162,Ilarvirus,Ilarvirus,164,25,5.099866427824199,3.2188758248682006,1.8809906029559982
163,Cucumovirus,Cucumovirus,84,6,4.430816798843313,1.791759469228055,2.6390573296152584
164,Anulavirus,Anulavirus,18,4,2.8903717578961645,1.3862943611198906,1.504077396776274
165,Unclass. Bromoviridae,Unclass. Bromoviridae,9,NA,2.1972245773362196,0.0,2.1972245773362196
166,Alfamovirus,Alfamovirus,19,1,2.9444389791664403,0.0,2.9444389791664403
167,Tobamovirus,Tobamovirus,535,37,6.282266746896006,3.6109179126442243,2.671348834251782
168,Furovirus,Furovirus,20,6,2.995732273553991,1.791759469228055,1.203972804325936
169,Unclass. Virgaviridae,Unclass. Virgaviridae,212,NA,5.356586274672012,0.0,5.356586274672012
170,Pomovirus,Pomovirus,17,5,2.833213344056216,1.6094379124341003,1.2237754316221159
171,Tobravirus,Tobravirus,9,3,2.1972245773362196,1.0986122886681098,1.0986122886681098
172,Hordeivirus,Hordeivirus,15,3,2.70805020110221,1.0986122886681098,1.6094379124341003
173,Pecluvirus,Pecluvirus,2,2,0.6931471805599453,0.6931471805599453,0.0
174,Unclass. Negarnaviricota G,Unclass. Negarnaviricota G,295,NA,5.68697535633982,0.0,5.68697535633982
175,Unclass. Serpentovirales G,Unclass. Serpentovirales G,1,NA,0.0,0.0,0.0
