,u10 Ensembl ID,u10 weight,u102540 Ensembl ID,u102540 weight,u11150 Ensembl ID,u11150 weight,u202260 Ensembl ID,u202260 weight,u39566 Ensembl ID,u39566 weight,u134800 Ensembl ID,u134800 weight,u102324 Ensembl ID,u102324 weight
2047,ENSMMUG00000019914.4,-0.002682954852113415,ENSMMUG00000011319.4,-0.003220311112406315,ENSMMUG00000013990.4,-0.00011304168457677795,ENSMMUG00000017025.4,-0.11900948028736623,ENSMMUG00000059177.1,-0.04546869820133492,ENSMMUG00000052218.1,-0.060853071087522116,ENSMMUG00000053676.1,-0.10311278158242979
2048,ENSMMUG00000014039.4,-0.0027092956334800185,ENSMMUG00000002308.3,-0.0032403923897270947,ENSMMUG00000013303.4,-0.00011304168457677795,ENSMMUG00000020090.4,-0.1191046080295429,ENSMMUG00000039139.2,-0.0454692847339584,ENSMMUG00000053321.1,-0.06095657799832604,ENSMMUG00000057535.1,-0.10325399201560047
2049,ENSMMUG00000059767.1,-0.002748741766711408,ENSMMUG00000052324.1,-0.0033253670555463692,ENSMMUG00000065243.1,-0.00011960701016250895,ENSMMUG00000007627.3,-0.1199106712878156,ENSMMUG00000003356.4,-0.04553561295381134,ENSMMUG00000023623.4,-0.06166283668582968,ENSMMUG00000022083.4,-0.10441245644764031
2050,ENSMMUG00000060439.1,-0.0027939276565370126,ENSMMUG00000044304.2,-0.003354978074931061,ENSMMUG00000062112.1,-0.00011960701016250895,ENSMMUG00000049784.1,-0.12003290050746447,ENSMMUG00000039195.2,-0.04571540181295157,ENSMMUG00000009038.4,-0.061722986774055626,ENSMMUG00000055438.1,-0.1046698119120839
2051,ENSMMUG00000022878.4,-0.0027939276565370126,ENSMMUG00000005270.4,-0.003449979314014986,ENSMMUG00000060541.1,-0.00011960701016250895,ENSMMUG00000064798.1,-0.12074956464134667,ENSMMUG00000057439.1,-0.04582891730568246,ENSMMUG00000018239.4,-0.06179010660929981,ENSMMUG00000058462.1,-0.10509247214463803
2052,ENSMMUG00000064236.1,-0.0029040853154619255,ENSMMUG00000064966.1,-0.003451050069208313,ENSMMUG00000059887.1,-0.00011960701016250895,ENSMMUG00000053725.1,-0.12081774185269487,ENSMMUG00000028716.3,-0.04585259415330405,ENSMMUG00000061209.1,-0.06183007921339704,ENSMMUG00000001053.4,-0.10531359594554099
2053,ENSMMUG00000006758.4,-0.0031158661268910347,ENSMMUG00000017143.4,-0.003451050069208313,ENSMMUG00000059175.1,-0.00011960701016250895,ENSMMUG00000061260.1,-0.12089362040993908,ENSMMUG00000061433.1,-0.04594898232623209,ENSMMUG00000009566.4,-0.06183007921339704,ENSMMUG00000002621.4,-0.10532926644733011
2054,ENSMMUG00000059651.1,-0.0032587371593090944,ENSMMUG00000064046.1,-0.0034976717848835812,ENSMMUG00000058747.1,-0.00011960701016250895,ENSMMUG00000052620.1,-0.12136914621761322,ENSMMUG00000019418.4,-0.04632229190315576,ENSMMUG00000004347.4,-0.06183007921339704,ENSMMUG00000054520.1,-0.10537965629023183
2055,ENSMMUG00000004313.4,-0.003297999285733333,ENSMMUG00000014521.4,-0.0036233497976565377,ENSMMUG00000057313.1,-0.00011960701016250895,ENSMMUG00000054724.1,-0.12281209895238594,ENSMMUG00000004466.4,-0.046432944963074034,ENSMMUG00000064198.1,-0.061848906350818814,ENSMMUG00000019772.4,-0.10572647928253531
2056,ENSMMUG00000053290.1,-0.003369107066392001,ENSMMUG00000050951.1,-0.0036390861203157467,ENSMMUG00000056166.1,-0.00011960701016250895,ENSMMUG00000052825.1,-0.12321737738069763,ENSMMUG00000053467.1,-0.046433234763107456,ENSMMUG00000057752.1,-0.06250377537800197,ENSMMUG00000008784.4,-0.10593432232424438
2057,ENSMMUG00000043611.2,-0.0034269594359601996,ENSMMUG00000046655.2,-0.0036390861203157467,ENSMMUG00000052929.1,-0.00011960701016250895,ENSMMUG00000055539.1,-0.1237037861712727,ENSMMUG00000008923.4,-0.04656440664129755,ENSMMUG00000051269.1,-0.0629941217264148,ENSMMUG00000021111.4,-0.106072456089499
2058,ENSMMUG00000057539.1,-0.003490723693150202,ENSMMUG00000050702.1,-0.003805438718000956,ENSMMUG00000052293.1,-0.00011960701016250895,ENSMMUG00000002114.4,-0.1237212471456458,ENSMMUG00000019833.4,-0.04662707227733303,ENSMMUG00000014604.4,-0.0630241703379424,ENSMMUG00000062305.1,-0.10700752903058512
2059,ENSMMUG00000051677.1,-0.0036031426699657714,ENSMMUG00000008429.4,-0.0038760397678572274,ENSMMUG00000023584.4,-0.00011960701016250895,ENSMMUG00000021678.4,-0.12420160519737906,ENSMMUG00000011443.4,-0.046655820675335274,ENSMMUG00000057641.1,-0.06307201812426963,ENSMMUG00000004663.4,-0.1072667695253587
2060,ENSMMUG00000062468.1,-0.0036213224456637444,ENSMMUG00000006256.4,-0.0038903969211338736,ENSMMUG00000022508.4,-0.00011960701016250895,ENSMMUG00000002955.4,-0.12483518410886957,ENSMMUG00000004890.4,-0.046664591533821714,ENSMMUG00000060771.1,-0.06315018438021655,ENSMMUG00000055305.1,-0.10757957408215266
2061,ENSMMUG00000051275.1,-0.003698950331999808,ENSMMUG00000021552.4,-0.003943559249857443,ENSMMUG00000022272.4,-0.00011960701016250895,ENSMMUG00000060255.1,-0.12540264509238888,ENSMMUG00000053725.1,-0.04702508494762532,ENSMMUG00000059501.1,-0.06336691115218508,ENSMMUG00000020663.4,-0.10764115724113181
2062,ENSMMUG00000001676.4,-0.0037221218055083515,ENSMMUG00000009041.4,-0.004005997895967053,ENSMMUG00000021436.4,-0.00011960701016250895,ENSMMUG00000046572.2,-0.1257910349254339,ENSMMUG00000062285.1,-0.047106356957582626,ENSMMUG00000062832.1,-0.06338331314228866,ENSMMUG00000050070.1,-0.10769383752343571
2063,ENSMMUG00000058837.1,-0.0037496272073294264,ENSMMUG00000045584.2,-0.004049962487265678,ENSMMUG00000020952.4,-0.00011960701016250895,ENSMMUG00000014611.4,-0.12582436347998785,ENSMMUG00000042510.2,-0.04740264759596923,ENSMMUG00000062103.1,-0.06349228292819979,ENSMMUG00000061779.1,-0.10772514700349267
2064,ENSMMUG00000012304.4,-0.0037496272073294264,ENSMMUG00000051278.1,-0.00426363262551979,ENSMMUG00000020184.4,-0.00011960701016250895,ENSMMUG00000053875.1,-0.12627079068169902,ENSMMUG00000004982.4,-0.04744247205833295,ENSMMUG00000061676.1,-0.06350069131970021,ENSMMUG00000060439.1,-0.1080162205599789
2065,ENSMMUG00000001248.4,-0.0037496272073294264,ENSMMUG00000019262.4,-0.0043104860693520914,ENSMMUG00000018548.4,-0.00011960701016250895,ENSMMUG00000038049.2,-0.1275252807733879,ENSMMUG00000004255.4,-0.047702828747078804,ENSMMUG00000022844.4,-0.06362529060996656,ENSMMUG00000049977.1,-0.10817796196047166
2066,ENSMMUG00000065057.1,-0.0037777175493510446,ENSMMUG00000059323.1,-0.004328356881754501,ENSMMUG00000016783.4,-0.00011960701016250895,ENSMMUG00000060084.1,-0.12809907922132113,ENSMMUG00000062793.1,-0.047777978713705156,ENSMMUG00000018664.4,-0.0636878424901738,ENSMMUG00000057532.1,-0.10856004125197517
2067,ENSMMUG00000050835.1,-0.00397991011397802,ENSMMUG00000018901.4,-0.00435837377026698,ENSMMUG00000014430.4,-0.00011960701016250895,ENSMMUG00000011047.4,-0.12829701966273033,ENSMMUG00000022050.3,-0.04779177074600102,ENSMMUG00000022109.4,-0.06412738811183331,ENSMMUG00000057406.1,-0.11075530640355845
